Estimate,SE,site,subpop,phe,bic,loglik
0.8263719173892087,0.02156442554562394,TX2,Gulf,PAN_LEN,3053.030228381572,-1520.0243906562837
0.8067046214219968,0.023673471514317347,TX2,Gulf,PRIM_BN,2700.726783741609,-1343.872668336302
0.683778456266159,0.035350828227811715,TX2,Gulf,SEC_BN,1957.0348007155064,-972.0266768232507
0.8532281516016118,0.024948490025134235,TX2,Midwest,PAN_LEN,1273.3126578249319,-631.05052684617
0.8773887565452068,0.0210101902936263,TX2,Midwest,PRIM_BN,976.0958949472093,-482.44214540730866
0.725628622120656,0.042599575801894024,TX2,Midwest,SEC_BN,714.8576810001896,-351.8230384337988
0.8658706965553313,0.016607032533265072,TX2,Atlantic,PAN_LEN,2190.2782367660993,-1088.9305283569531
0.9015027975015144,0.012761645475842697,TX2,Atlantic,PRIM_BN,1894.3283647856447,-940.9555923667257
0.6826273699464686,0.03359137000286189,TX2,Atlantic,SEC_BN,1423.6752205493349,-705.6290202485708
0.8393486873804544,0.012261412268641775,TX2,three_subpops,PAN_LEN,6568.179930332821,-3276.8245354431565
0.8414201878222083,0.012224306575998914,TX2,three_subpops,PRIM_BN,5679.394229930469,-2832.4316852419806
0.6808652231558151,0.021504697800605464,TX2,three_subpops,SEC_BN,4126.3999894521785,-2055.9345650028354
0.7318991703237976,0.03224408300950447,MO,Gulf,PAN_LEN,2859.3442826601927,-1423.404940781555
0.8414520827893814,0.020578845445624074,MO,Gulf,PRIM_BN,2241.0170107198246,-1114.241304811371
0.6262906885193864,0.04137650029218015,MO,Gulf,SEC_BN,1683.8770126619663,-835.6713057824418
0.8084015439442679,0.03131640280456516,MO,Midwest,PAN_LEN,1254.3943631342804,-621.6136852583585
0.7948672444064193,0.03346111709212761,MO,Midwest,PRIM_BN,984.5145771882376,-486.6737922853371
0.7192214828518726,0.0433771455204955,MO,Midwest,SEC_BN,625.8503612641753,-307.3416843233059
0.7969587695959046,0.02374297034500642,MO,Atlantic,PAN_LEN,2409.5117213396934,-1198.5412525714246
0.7715354336419609,0.026251429021797338,MO,Atlantic,PRIM_BN,1751.9201383994262,-869.7454611012909
0.6713642098507803,0.0344784245713725,MO,Atlantic,SEC_BN,1359.4882621227805,-673.529522962968
0.7522439617896628,0.018045991170104185,MO,three_subpops,PAN_LEN,6629.159251968428,-3307.4133600100804
0.8136695862277954,0.014209907771797817,MO,three_subpops,PRIM_BN,5114.458162624007,-2550.06281533787
0.6453310327448805,0.02366009025665484,MO,three_subpops,SEC_BN,3760.545533830128,-1873.1065009409303
0.7879748348045482,0.02602351783579806,MI,Gulf,PAN_LEN,3042.8925572875214,-1515.0780914574102
0.8228835194939873,0.022451986214529852,MI,Gulf,PRIM_BN,2642.09114479187,-1314.6773852095846
0.5757349917457105,0.044006062986463514,MI,Gulf,SEC_BN,1995.4039607043178,-991.3355099044275
0.7578098914168573,0.038840754443889174,MI,Midwest,PAN_LEN,1300.9254557876084,-644.8867787906579
0.7693166517651869,0.03741815603816239,MI,Midwest,PRIM_BN,1014.8377412833587,-501.842921538533
0.5758326684046772,0.06075305523042451,MI,Midwest,SEC_BN,704.2257066959829,-346.5369042448451
0.8777432772424864,0.015250939227290898,MI,Atlantic,PAN_LEN,2281.405348772989,-1134.5001388693065
0.7147867659435524,0.031314536926531224,MI,Atlantic,PRIM_BN,1870.5405641302805,-929.0677465479523
0.6320118621743073,0.03769027523799149,MI,Atlantic,SEC_BN,1537.4881535449497,-762.5435675984321
0.8021324361824235,0.014861612621281384,MI,three_subpops,PAN_LEN,6735.713676063987,-3360.65417683547
0.780638745020868,0.01629733862190391,MI,three_subpops,PRIM_BN,5696.984650985186,-2841.2896642960695
0.5883128758304647,0.026016282567957905,MI,three_subpops,SEC_BN,4311.363990315156,-2148.4808242742965
0.46884890031295107,0.04416394091219648,three_sites,Gulf,PAN_LEN,9704.18658401361,-4840.874342550131
0.7000359355954702,0.02943100102129622,three_sites,Gulf,PRIM_BN,7750.479724039903,-3864.0209125632773
0.3596577686984998,0.03636169260733041,three_sites,Gulf,SEC_BN,5919.694144526997,-2948.6289700251464
0.42701435318907477,0.1276690409614689,three_sites,Midwest,PAN_LEN,3964.8867002246056,-1972.4089512085343
0.571421115158337,0.048487877786188675,three_sites,Midwest,PRIM_BN,3138.604356748133,-1559.267779470298
0.4051525397517069,0.0676585281624228,three_sites,Midwest,SEC_BN,2117.9027566985187,-1048.9169794454908
0.4940347170240984,0.13930205661949813,three_sites,Atlantic,PAN_LEN,7081.992667481883,-3530.0335195446323
0.5571129094963574,0.03257634980565627,three_sites,Atlantic,PRIM_BN,5927.130888425085,-2952.6026300162334
0.470877044650971,0.03748508305159185,three_sites,Atlantic,SEC_BN,4356.234200515613,-2167.1552910866612
0.4777831227233008,0.07438362440127104,three_sites,three_subpops,PAN_LEN,21163.437979279304,-10569.251892221997
0.6428839497961725,0.019531759630763215,three_sites,three_subpops,PRIM_BN,16991.315314609554,-8483.190559887122
0.4148968332720257,0.022811620969352367,three_sites,three_subpops,SEC_BN,12630.710810330833,-6302.889045029664
