Estimate,SE,site,subpop,phe,bic,loglik
0.8357632129180962,0.016043624741068834,TX2,Gulf,PAN_LEN,4516.7829043466145,-2251.5224377226414
0.8148988098493221,0.017848326431960524,TX2,Gulf,PRIM_BN,4016.4686148501123,-2001.3652929743905
0.665497762105478,0.028932405275267917,TX2,Gulf,SEC_BN,2941.85063026969,-1464.0563006841794
0.850713737256907,0.021947074359286667,TX2,Midwest,PAN_LEN,1702.6031004407994,-845.4016528668172
0.8940280967900853,0.01588492061369656,TX2,Midwest,PRIM_BN,1384.2114938437558,-686.2058495682954
0.7132170715344993,0.038451523812351396,TX2,Midwest,SEC_BN,957.1574324898936,-472.68156237731006
0.8760341999675992,0.012349233956838603,TX2,Atlantic,PAN_LEN,3561.006590323606,-1773.814940447856
0.8399095121980938,0.01574430010472449,TX2,Atlantic,PRIM_BN,3275.0126038428566,-1630.8179472074814
0.6779826363468539,0.02718288501545565,TX2,Atlantic,SEC_BN,2286.2798491503627,-1136.4515698612345
0.8487618194450853,0.00940566649795752,TX2,three_subpops,PAN_LEN,9845.245253566336,-4914.957810997882
0.8336828484451484,0.010281770067429773,TX2,three_subpops,PRIM_BN,8738.732034507391,-4361.70120146841
0.6686781895793167,0.017954563879886778,TX2,three_subpops,SEC_BN,6235.260719645682,-3109.966013190742
0.7383151884322179,0.029574731747426208,MO,Gulf,PAN_LEN,3188.968936194621,-1588.1094432774826
0.8479256262384035,0.018580168814543864,MO,Gulf,PRIM_BN,2493.944227095808,-1240.597088728076
0.6146785065294544,0.03986950426120374,MO,Gulf,SEC_BN,1892.2602761443948,-939.7551132523693
0.756182278671344,0.033135436592185055,MO,Midwest,PAN_LEN,1767.4457785645482,-877.8395668937858
0.7106981827852615,0.03821678975080245,MO,Midwest,PRIM_BN,1474.7998969460907,-731.5166260845571
0.6959887025651064,0.03959954507691181,MO,Midwest,SEC_BN,871.5035055427186,-429.868430382871
0.797936568103716,0.020063455259153783,MO,Atlantic,PAN_LEN,3363.559154504133,-1675.2356654065018
0.7328776759321656,0.025263099725177308,MO,Atlantic,PRIM_BN,2447.9922148659466,-1217.4521955874086
0.655567527433616,0.03028189181188148,MO,Atlantic,SEC_BN,1921.111254743866,-954.0117155263682
0.7527288547889045,0.015893261035784128,MO,three_subpops,PAN_LEN,8418.228840677739,-4201.710141220832
0.7925223313639045,0.013758117568477354,MO,three_subpops,PRIM_BN,6572.089090875137,-3278.6402663195313
0.6351390168009329,0.02136103754959519,MO,three_subpops,SEC_BN,4781.755320066628,-2383.4733809152767
0.776134706752179,0.023300102763513682,MI,Gulf,PAN_LEN,4150.492812426007,-2068.585831063164
0.8201987682444274,0.019362950740356315,MI,Gulf,PRIM_BN,3555.6876085529357,-1771.1832291266282
0.5587677236349704,0.03871899298494483,MI,Gulf,SEC_BN,2714.40089536569,-1350.5411537631612
0.7842856445698758,0.03306253613432416,MI,Midwest,PAN_LEN,1464.2391280751463,-726.4258318987704
0.809154080470372,0.029807388725410396,MI,Midwest,PRIM_BN,1146.8589542381653,-567.73574498028
0.6725862320270303,0.04708193098368818,MI,Midwest,SEC_BN,827.9644975292067,-408.2918893102793
0.8601381499016033,0.016384335464429287,MI,Atlantic,PAN_LEN,2566.3977317722088,-1276.8944170836824
0.7146135760107742,0.029748495181738444,MI,Atlantic,PRIM_BN,2081.0090324523876,-1034.2000674237718
0.5320949901829044,0.04132915700313115,MI,Atlantic,SEC_BN,1910.9002300428767,-949.1474960456935
0.7905662589350095,0.014252892387947263,MI,three_subpops,PAN_LEN,8302.964907632193,-4144.087960708877
0.7892105802643775,0.014355583894944597,MI,three_subpops,PRIM_BN,6972.361288762618,-3478.7861512740897
0.5598963357764751,0.02482956097370253,MI,three_subpops,SEC_BN,5507.800586996033,-2746.507645977295
0.5147275487670596,0.03152519045581777,three_sites,Gulf,PAN_LEN,12856.830940697948,-6416.7837480277685
0.701803072067924,0.023348610273733698,three_sites,Gulf,PRIM_BN,10311.468804241613,-5144.102679799601
0.3778406943544403,0.029915615965783265,three_sites,Gulf,SEC_BN,7894.293679418741,-3935.5157607508168
0.46833583579693433,0.11945428704115688,three_sites,Midwest,PAN_LEN,5099.020439481028,-2539.1144775915864
0.6713398747840071,0.03546421489316445,three_sites,Midwest,PRIM_BN,4165.142901632824,-2072.1757086674843
0.4628656683990362,0.06048799712442666,three_sites,Midwest,SEC_BN,2769.0295351523155,-1374.1219608489107
0.5022965212911629,0.13749105149976068,three_sites,Atlantic,PAN_LEN,9853.413679000785,-4915.2706436219005
0.5803334400912142,0.027566127969090328,three_sites,Atlantic,PRIM_BN,8221.556713928823,-4099.3421610859195
0.44435722750292356,0.03209542097962927,three_sites,Atlantic,SEC_BN,6259.450652920587,-3118.2898635405263
0.5078071555501839,0.0623982541772775,three_sites,three_subpops,PAN_LEN,28413.882782004635,-14194.049048953697
0.6628702892149835,0.015718510947155092,three_sites,three_subpops,PRIM_BN,22890.903167120487,-11432.559241511623
0.41905319740991115,0.01898712824052668,three_sites,three_subpops,SEC_BN,17173.816948190648,-8574.017242746495
