"SITE","SITE1","SITE2","traits"
"PKLE",0.882206585525312,1,"PRM"
"MNHT",1,0.804293710293455,"PRM"
"KING",0.804293710293455,1,"PRM"
"CLMB",1,0.942192226955124,"PRM"
"STIL",0.942192226955124,1,"PRM"
"CLMB",1,1.02906005603636,"PRM"
"OVTN",1.02906005603636,1,"PRM"
"CLMB",1,1.0230050986502,"PRM"
"TMPL",1.0230050986502,1,"PRM"
"CLMB",1,0.978494843467885,"PRM"
"PKLE",0.978494843467885,1,"PRM"
"CLMB",1,0.896687346099648,"PRM"
"KING",0.896687346099648,1,"PRM"
"STIL",1,1.09156127230665,"PRM"
"OVTN",1.09156127230665,1,"PRM"
"STIL",1,0.895739887294405,"PRM"
"TMPL",0.895739887294405,1,"PRM"
"STIL",1,0.98890005920173,"PRM"
"PKLE",0.98890005920173,1,"PRM"
"STIL",1,0.732076553310999,"PRM"
"KING",0.732076553310998,1,"PRM"
"OVTN",1,0.998441233759321,"PRM"
"TMPL",0.998441233759321,1,"PRM"
"OVTN",1,0.938008955477327,"PRM"
"PKLE",0.938008955477327,1,"PRM"
"OVTN",1,0.874665864025028,"PRM"
"KING",0.874665864025028,1,"PRM"
"TMPL",1,0.866676036857848,"PRM"
"PKLE",0.866676036857848,1,"PRM"
"TMPL",1,0.920299382463313,"PRM"
"KING",0.920299382463313,1,"PRM"
"PKLE",1,0.936663862094576,"PRM"
"KING",0.936663862094577,1,"PRM"
"BRKG",1,1.002019925855,"SEC"
"KBSM",1.002019925855,1,"SEC"
"BRKG",1,1.03159141848924,"SEC"
"LINC",1.03159141848924,1,"SEC"
"BRKG",1,1.13433477991174,"SEC"
"MNHT",1.13433477991174,1,"SEC"
"BRKG",1,1.27453487234941,"SEC"
"CLMB",1.27453487234941,1,"SEC"
"BRKG",1,1.01265818620133,"SEC"
"STIL",1.01265818620133,1,"SEC"
"BRKG",1,0.960002453789696,"SEC"
"OVTN",0.960002453789696,1,"SEC"
"BRKG",1,0.562425984348413,"SEC"
"TMPL",0.562425984348413,1,"SEC"
"BRKG",1,0.499963814545372,"SEC"
"PKLE",0.499963814545372,1,"SEC"
"BRKG",1,0.812262761161881,"SEC"
"KING",0.812262761161881,1,"SEC"
"KBSM",1,0.943563315178296,"SEC"
"LINC",0.943563315178296,1,"SEC"
"KBSM",1,1.01895181412729,"SEC"
"MNHT",1.01895181412729,1,"SEC"
"KBSM",1,1.18525283290381,"SEC"
"CLMB",1.18525283290381,1,"SEC"
"KBSM",1,0.969228790080836,"SEC"
"STIL",0.969228790080836,1,"SEC"
"KBSM",1,0.909311223750492,"SEC"
"OVTN",0.909311223750492,1,"SEC"
"KBSM",1,0.841922638353545,"SEC"
"TMPL",0.841922638353545,1,"SEC"
"KBSM",1,0.809071332790428,"SEC"
"PKLE",0.809071332790428,1,"SEC"
"KBSM",1,0.795230157186903,"SEC"
"KING",0.795230157186903,1,"SEC"
"LINC",1,0.768401615320302,"SEC"
"MNHT",0.768401615320302,1,"SEC"
"LINC",1,0.996794597449681,"SEC"
"CLMB",0.996794597449681,1,"SEC"
"LINC",1,Inf,"SEC"
"STIL",Inf,1,"SEC"
"LINC",1,0.869956485063148,"SEC"
"OVTN",0.869956485063148,1,"SEC"
"LINC",1,0.740845968989448,"SEC"
"TMPL",0.740845968989448,1,"SEC"
"LINC",1,0.971317779559614,"SEC"
"PKLE",0.971317779559614,1,"SEC"
"LINC",1,0.730210173671386,"SEC"
"KING",0.730210173671386,1,"SEC"
"MNHT",1,1.42793920306849,"SEC"
"CLMB",1.42793920306849,1,"SEC"
"MNHT",1,1.50792269137937,"SEC"
"STIL",1.50792269137937,1,"SEC"
"MNHT",1,0.828794634962062,"SEC"
"OVTN",0.828794634962062,1,"SEC"
"MNHT",1,0.882812413402158,"SEC"
"TMPL",0.882812413402158,1,"SEC"
"MNHT",1,0.653792376876223,"SEC"
"PKLE",0.653792376876223,1,"SEC"
"MNHT",1,0.832078431505178,"SEC"
"KING",0.832078431505178,1,"SEC"
"CLMB",1,8.45417297571799,"SEC"
"STIL",8.45417297571799,1,"SEC"
"CLMB",1,1.29591087515317,"SEC"
"OVTN",1.29591087515317,1,"SEC"
"CLMB",1,1.18197468025113,"SEC"
"TMPL",1.18197468025113,1,"SEC"
"CLMB",1,0.547500337467783,"SEC"
"PKLE",0.547500337467783,1,"SEC"
"CLMB",1,0.82858938324754,"SEC"
"KING",0.82858938324754,1,"SEC"
"STIL",1,0.939910489899728,"SEC"
"OVTN",0.939910489899728,1,"SEC"
"STIL",1,1.0252292070966,"SEC"
"TMPL",1.0252292070966,1,"SEC"
"STIL",1,0.252662167639656,"SEC"
"PKLE",0.252662167639656,1,"SEC"
"STIL",1,0.842125694384922,"SEC"
"KING",0.842125694384922,1,"SEC"
"OVTN",1,0.742473167593466,"SEC"
"TMPL",0.742473167593466,1,"SEC"
"OVTN",1,0.958415035086896,"SEC"
"PKLE",0.958415035086897,1,"SEC"
"OVTN",1,0.887258763116758,"SEC"
"KING",0.887258763116758,1,"SEC"
"TMPL",1,0.507453584010271,"SEC"
"PKLE",0.507453584010271,1,"SEC"
"TMPL",1,0.881664422768873,"SEC"
"KING",0.881664422768873,1,"SEC"
"PKLE",1,0.670326372602527,"SEC"
"KING",0.670326372602527,1,"SEC"
