SITE,YEAR,LINE,FL50,TC,BIOMASS
BRKG,2016,150,205,74,0.485
BRKG,2016,WBC,NA,16,3.189
BRKG,2016,220,210,41,0.266
BRKG,2016,195,206,57,0.506
BRKG,2016,394,205,28,0.161
BRKG,2016,93,208,126,1.223
BRKG,2016,306,207,101,1.165
BRKG,2016,VxW,NA,112,1.58
BRKG,2016,126,205,133,0.73
BRKG,2016,360,206,140,1.209
BRKG,2016,20,206,7,0.818
BRKG,2016,212,205,11,1.305
BRKG,2016,61,213,77,0.883
BRKG,2016,383,211,94,1.528
BRKG,2016,160,212,124,0.846
BRKG,2016,404,212,107,1.104
BRKG,2016,81,207,65,0.373
BRKG,2016,AP13,NA,77,1.311
BRKG,2016,12,203,103,0.745
BRKG,2016,377,211,94,1.293
BRKG,2016,104,207,81,0.872
BRKG,2016,240,203,118,1.094
BRKG,2016,20,207,112,1.176
BRKG,2016,DAC,186,134,0.36
BRKG,2016,278,203,163,1.456
BRKG,2016,36,215,62,0.666
BRKG,2016,392,206,75,0.703
BRKG,2016,197,203,82,0.754
BRKG,2016,AP13,250,114,2.364
BRKG,2016,230,206,90,0.642
BRKG,2016,32,210,135,1.624
BRKG,2016,324,206,112,1.286
BRKG,2016,AxD,206,98,0.836
BRKG,2016,196,NA,43,0.551
BRKG,2016,369,205,109,1.508
BRKG,2016,165,210,76,0.662
BRKG,2016,VxW,NA,138,1.7
BRKG,2016,286,205,96,0.703
BRKG,2016,182,211,99,1.122
BRKG,2016,AP13,NA,147,1.916
BRKG,2016,347,207,64,0.481
BRKG,2016,49,207,104,0.881
BRKG,2016,368,207,67,0.452
BRKG,2016,106,208,182,1.731
BRKG,2016,AxD,205,141,1.049
BRKG,2016,201,206,119,1.042
BRKG,2016,174,207,111,0.852
BRKG,2016,376,207,116,1.166
BRKG,2016,25,211,110,1.09
BRKG,2016,DAC,186,88,0.301
BRKG,2016,314,208,93,0.774
BRKG,2016,189,211,117,1.509
BRKG,2016,297,213,53,0.309
BRKG,2016,84,207,95,0.648
BRKG,2016,389,211,218,2.003
BRKG,2016,VS16,211,52,0.367
BRKG,2016,170,206,116,1.028
BRKG,2016,208,218,94,0.65
BRKG,2016,175,NA,208,2.48
BRKG,2016,321,211,36,0.164
BRKG,2016,198,211,133,1.154
BRKG,2016,326,NA,81,0.642
BRKG,2016,112,208,136,1.098
BRKG,2016,357,NA,59,0.45
BRKG,2016,138,212,NA,0.481
BRKG,2016,264,208,74,0.675
BRKG,2016,186,NA,164,1.42
BRKG,2016,224,211,97,1.03
BRKG,2016,187,209,180,1.502
BRKG,2016,294,207,137,0.747
BRKG,2016,28,212,171,1.343
BRKG,2016,253,210,125,1.214
BRKG,2016,254,207,135,0.866
BRKG,2016,230,206,95,0.741
BRKG,2016,374,211,47,0.339
BRKG,2016,148,207,100,0.797
BRKG,2016,AxD,208,77,NA
BRKG,2016,246,206,113,0.932
BRKG,2016,AP13,250,154,3.167
BRKG,2016,339,212,124,0.993
BRKG,2016,227,207,171,1.07
BRKG,2016,WBC,250,258,4.804
BRKG,2016,64,207,139,0.9
BRKG,2016,341,206,73,0.4
BRKG,2016,184,206,174,1.346
BRKG,2016,380,216,129,0.919
BRKG,2016,171,207,155,0.917
BRKG,2016,VS16,NA,53,0.292
BRKG,2016,399,204,204,1.46
BRKG,2016,WBC,NA,113,1.94
BRKG,2016,AP13,250,187,2.686
BRKG,2016,169,208,69,0.594
BRKG,2016,362,NA,178,1.545
BRKG,2016,67,211,172,1.44
BRKG,2016,293,207,122,0.856
BRKG,2016,151,210,72,0.549
BRKG,2016,281,206,104,0.663
BRKG,2016,44,211,233,1.733
BRKG,2016,222,NA,62,0.381
BRKG,2016,41,207,177,0.987
BRKG,2016,274,NA,113,0.126
BRKG,2016,178,212,98,1.053
BRKG,2016,345,206,21,0.111
BRKG,2016,146,211,47,0.237
BRKG,2016,359,212,105,0.619
BRKG,2016,261,207,71,0.781
BRKG,2016,280,NA,66,0.699
BRKG,2016,113,211,78,0.527
BRKG,2016,254,207,107,0.588
BRKG,2016,133,NA,14,0.08
BRKG,2016,311,210,85,NA
BRKG,2016,191,206,161,1.13
BRKG,2016,294,207,103,0.66
BRKG,2016,23,NA,138,1.964
BRKG,2016,218,216,136,1.115
BRKG,2016,128,207,43,0.38
BRKG,2016,279,208,66,0.592
BRKG,2016,72,207,123,0.813
BRKG,2016,242,208,89,0.425
BRKG,2016,65,207,81,0.5
BRKG,2016,259,207,229,1.324
BRKG,2016,WBC,250,166,3.016
BRKG,2016,80,211,112,0.775
BRKG,2016,277,213,291,NA
BRKG,2016,122,212,19,0.172
BRKG,2016,202,206,22,0.167
BRKG,2016,95,216,196,1.267
BRKG,2016,390,NA,109,1.291
BRKG,2016,183,205,67,0.503
BRKG,2016,WBC,250,278,3.587
BRKG,2016,395,211,161,1.095
BRKG,2016,161,212,139,1.001
BRKG,2016,324,206,106,0.868
BRKG,2016,251,NA,162,1.736
BRKG,2016,313,207,127,1.119
BRKG,2016,4,217,190,1.477
BRKG,2016,AP13,250,134,2.08
BRKG,2016,317,211,141,0.846
BRKG,2016,130,208,126,1.136
BRKG,2016,297,212,58,0.394
BRKG,2016,110,208,74,0.595
BRKG,2016,342,207,110,0.872
BRKG,2016,AxD,209,135,0.99
BRKG,2016,107,211,122,0.895
BRKG,2016,182,210,47,0.335
BRKG,2016,289,210,89,0.673
BRKG,2016,45,204,71,0.427
BRKG,2016,343,207,128,0.838
BRKG,2016,66,NA,135,1.437
BRKG,2016,382,211,117,1.274
BRKG,2016,VS16,211,77,0.44
BRKG,2016,371,217,44,0.248
BRKG,2016,16,211,79,0.532
BRKG,2016,365,207,152,1.113
BRKG,2016,134,NA,56,0.454
BRKG,2016,354,211,99,0.67
BRKG,2016,97,207,63,0.491
BRKG,2016,VxW,214,118,1.132
BRKG,2016,245,211,108,0.859
BRKG,2016,322,NA,127,1.046
BRKG,2016,285,NA,177,1.451
BRKG,2016,8,215,123,0.778
BRKG,2016,132,210,83,0.707
BRKG,2016,355,212,182,1.469
BRKG,2016,118,208,97,0.715
BRKG,2016,383,211,84,1.166
BRKG,2016,VxW,NA,114,1.254
BRKG,2016,33,207,115,0.664
BRKG,2016,325,210,151,1.217
BRKG,2016,35,210,145,1.326
BRKG,2016,385,215,148,1.097
BRKG,2016,11,211,120,1.052
BRKG,2016,DAC,NA,144,0.505
BRKG,2016,292,206,129,1.255
BRKG,2016,154,216,103,0.94
BRKG,2016,391,206,71,0.511
BRKG,2016,56,NA,146,0.978
BRKG,2016,AP13,250,192,2.877
BRKG,2016,372,208,159,1.176
BRKG,2016,61,NA,104,1.229
BRKG,2016,313,207,139,1.014
BRKG,2016,WBC,250,274,4.024
BRKG,2016,168,216,149,1.358
BRKG,2016,DAC,206,174,0.454
BRKG,2016,262,211,88,0.556
BRKG,2016,87,207,92,0.496
BRKG,2016,250,210,157,1.4
BRKG,2016,25,210,131,1.112
BRKG,2016,217,208,143,0.972
BRKG,2016,77,207,107,0.571
BRKG,2016,226,211,85,0.632
BRKG,2016,88,210,212,1.611
BRKG,2016,272,210,136,1.045
BRKG,2016,111,206,105,0.365
BRKG,2016,237,212,112,1.053
BRKG,2016,69,216,72,0.48
BRKG,2016,233,215,105,0.654
BRKG,2016,191,201,97,0.652
BRKG,2016,398,206,116,0.938
BRKG,2016,392,207,106,0.76
BRKG,2016,291,217,119,0.99
BRKG,2016,42,207,189,1.353
BRKG,2016,249,207,137,1.252
BRKG,2016,AP13,250,174,2.55
BRKG,2016,91,216,33,0.273
BRKG,2016,356,205,91,0.68
BRKG,2016,28,206,109,1.095
BRKG,2016,267,210,75,0.78
BRKG,2016,AxD,206,128,0.997
BRKG,2016,293,207,76,0.597
BRKG,2016,AP13,250,131,2.828
BRKG,2016,296,210,139,1.624
BRKG,2016,14,206,68,0.356
BRKG,2016,288,210,62,0.827
BRKG,2016,WBC,250,231,3.658
BRKG,2016,24,212,102,0.87
BRKG,2016,AxD,206,92,0.403
BRKG,2016,213,199,98,0.962
BRKG,2016,246,207,83,0.673
BRKG,2016,125,NA,89,0.511
BRKG,2016,AxD,206,101,0.832
BRKG,2016,334,217,144,1.645
BRKG,2016,53,206,108,0.833
BRKG,2016,WBC,250,248,3.903
BRKG,2016,320,210,68,0.704
BRKG,2016,86,216,59,0.56
BRKG,2016,235,207,125,1.129
BRKG,2016,29,208,92,0.698
BRKG,2016,244,207,47,0.614
BRKG,2016,55,207,163,0.556
BRKG,2016,204,204,151,0.685
BRKG,2016,325,211,23,0.136
BRKG,2016,228,206,146,1.319
BRKG,2016,31,207,83,0.599
BRKG,2016,225,205,108,1.218
BRKG,2016,AP13,250,143,2.79
BRKG,2016,21,208,126,1.092
BRKG,2016,247,NA,168,1.722
BRKG,2016,5,208,42,0.328
BRKG,2016,319,206,97,0.921
BRKG,2016,116,208,114,1.102
BRKG,2016,304,206,103,0.972
BRKG,2016,AP13,250,167,2.712
BRKG,2016,192,217,102,0.843
BRKG,2016,284,207,94,0.86
BRKG,2016,127,206,63,0.652
BRKG,2016,310,216,135,1.088
BRKG,2016,173,206,82,0.476
BRKG,2016,VS16,209,72,0.677
BRKG,2016,215,NA,93,0.715
BRKG,2016,71,NA,107,1.306
BRKG,2016,216,NA,144,1.117
BRKG,2016,54,218,91,0.725
BRKG,2016,348,208,51,0.453
BRKG,2016,135,207,45,0.322
BRKG,2016,203,207,96,0.881
BRKG,2016,159,208,126,1.158
BRKG,2016,403,208,82,1.09
BRKG,2016,145,207,76,0.511
BRKG,2016,282,208,82,0.811
BRKG,2016,176,205,129,1.083
BRKG,2016,402,211,94,1.245
BRKG,2016,117,211,122,0.922
BRKG,2016,AP13,250,122,2.977
BRKG,2016,397,218,173,1.752
BRKG,2016,190,209,66,0.654
BRKG,2016,388,207,35,0.659
BRKG,2016,122,208,52,0.465
BRKG,2016,400,211,81,0.72
BRKG,2016,188,211,57,0.692
BRKG,2016,364,208,88,1.079
BRKG,2016,193,NA,86,1.161
BRKG,2016,330,207,150,1.063
BRKG,2016,157,202,87,0.786
BRKG,2016,366,211,96,1.293
BRKG,2016,180,203,63,0.863
BRKG,2016,AxD,208,71,0.756
BRKG,2016,243,207,92,1.214
BRKG,2016,57,205,87,0.454
BRKG,2016,303,218,123,1.703
BRKG,2016,10,207,34,0.162
BRKG,2016,378,216,25,0.579
BRKG,2016,AxD,206,145,1.17
BRKG,2016,391,210,80,0.751
BRKG,2016,349,210,58,0.515
BRKG,2016,43,203,83,0.761
BRKG,2016,AxD,203,93,0.951
BRKG,2016,242,208,88,0.707
BRKG,2016,18,207,105,0.846
BRKG,2016,375,208,28,0.4
BRKG,2016,VxW,NA,82,1.143
BRKG,2016,96,206,60,0.221
BRKG,2016,AP13,250,146,2.745
BRKG,2016,221,NA,101,1.151
BRKG,2016,27,217,44,0.525
BRKG,2016,367,207,154,1.383
BRKG,2016,69,217,81,1.262
BRKG,2016,238,219,65,0.687
BRKG,2016,VxW,NA,83,1.358
BRKG,2016,47,211,63,0.465
BRKG,2016,302,207,130,0.897
BRKG,2016,142,206,166,1.486
BRKG,2016,300,211,87,0.993
BRKG,2016,75,NA,84,1.144
BRKG,2016,344,NA,29,0.111
BRKG,2016,128,207,51,0.575
BRKG,2016,265,208,125,0.871
BRKG,2016,101,NA,116,0.79
BRKG,2016,219,218,28,0.349
BRKG,2016,100,NA,108,0.957
BRKG,2016,317,206,112,0.693
BRKG,2016,VxW,217,116,1.355
BRKG,2016,147,207,121,1.018
BRKG,2016,229,210,41,0.616
BRKG,2016,VS16,210,82,0.607
BRKG,2016,85,207,121,1.076
BRKG,2016,346,207,123,0.981
BRKG,2016,34,207,138,1.15
BRKG,2016,358,207,142,1.049
BRKG,2016,63,207,96,0.613
BRKG,2016,AP13,218,147,2.583
BRKG,2016,VxW,NA,65,0.857
BRKG,2016,214,NA,49,0.561
BRKG,2016,26,209,123,0.608
BRKG,2016,AP13,250,205,2.579
BRKG,2016,156,204,127,0.805
BRKG,2016,308,207,151,1.202
BRKG,2016,VS16,213,67,0.285
BRKG,2016,158,208,165,1.104
BRKG,2016,244,207,72,0.884
BRKG,2016,35,218,136,1.104
BRKG,2016,AP13,250,144,2.57
BRKG,2016,258,207,217,1.149
BRKG,2016,74,NA,135,1.593
BRKG,2016,205,NA,74,0.216
BRKG,2016,WBC,NA,148,2.479
BRKG,2016,73,207,77,0.584
BRKG,2016,218,217,134,1.457
BRKG,2016,58,208,63,0.326
BRKG,2016,264,207,98,1.049
BRKG,2016,166,NA,174,2.059
BRKG,2016,234,217,122,1.134
BRKG,2016,263,NA,197,1.508
BRKG,2016,199,211,132,1.494
BRKG,2016,283,208,97,0.989
BRKG,2016,200,208,134,1.128
BRKG,2016,332,208,158,0.481
BRKG,2016,103,211,152,1.638
BRKG,2016,257,NA,157,1.461
BRKG,2016,131,206,182,1.426
BRKG,2016,373,208,172,1.171
BRKG,2016,123,201,167,1.309
BRKG,2016,232,208,152,1.49
BRKG,2016,99,210,115,0.641
BRKG,2016,336,NA,119,0.699
BRKG,2016,119,218,182,1.701
BRKG,2016,270,207,108,0.962
BRKG,2016,141,208,121,0.685
BRKG,2016,WBC,NA,132,3.226
BRKG,2016,381,208,157,1.139
BRKG,2016,185,207,103,0.561
BRKG,2016,210,217,152,1.529
BRKG,2016,22,208,122,0.556
BRKG,2016,320,207,88,0.664
BRKG,2016,1,208,159,0.95
BRKG,2016,WBC,250,181,3.494
BRKG,2016,345,208,97,0.52
BRKG,2016,163,219,57,0.374
BRKG,2016,363,210,82,0.59
BRKG,2016,153,210,104,1.02
BRKG,2016,271,217,233,1.839
BRKG,2016,48,207,119,0.707
BRKG,2016,241,NA,70,0.745
BRKG,2016,DAC,176,94,0.539
BRKG,2016,177,216,175,1.561
BRKG,2016,365,206,152,1.025
BRKG,2016,140,NA,135,2.179
BRKG,2016,269,207,78,0.542
BRKG,2016,VxW,NA,107,1.41
BRKG,2016,248,NA,96,1.523
BRKG,2016,4,NA,110,0.984
BRKG,2016,AxD,206,116,0.832
BRKG,2016,301,207,143,1.088
BRKG,2016,79,210,90,1.022
BRKG,2016,353,207,52,1.661
BRKG,2016,AxD,206,89,0.575
BRKG,2016,279,206,23,0.15
BRKG,2016,207,206,101,0.557
BRKG,2016,AP13,250,183,3.269
BRKG,2016,155,210,122,1.557
BRKG,2016,318,207,167,1.128
BRKG,2016,136,186,5,NA
BRKG,2016,290,206,38,0.226
BRKG,2016,19,206,120,0.863
BRKG,2016,337,207,33,0.311
BRKG,2016,143,NA,95,1.106
BRKG,2016,266,207,112,1.169
BRKG,2016,134,NA,65,0.785
BRKG,2016,AP13,NA,131,2.65
BRKG,2016,305,207,102,0.993
BRKG,2016,33,207,73,0.537
BRKG,2016,396,206,135,1.133
BRKG,2016,97,207,27,0.211
BRKG,2016,316,208,147,1.181
BRKG,2016,83,217,92,0.7556
BRKG,2016,209,207,125,0.975
BRKG,2016,73,207,66,0.694
BRKG,2016,333,217,54,0.683
BRKG,2016,VxW,217,69,1.148
BRKG,2016,207,206,53,0.405
BRKG,2016,WBC,250,210,3.631
BRKG,2016,VxW,NA,71,0.893
BRKG,2016,239,NA,62,0.539
BRKG,2016,197,218,88,0.72
BRKG,2016,WBC,250,257,3.171
BRKG,2016,78,208,83,0.82
BRKG,2016,DAC,NA,113,0.231
BRKG,2016,275,208,124,0.924
BRKG,2016,208,208,46,0.223
BRKG,2016,315,206,91,0.634
BRKG,2016,13,NA,93,1.053
BRKG,2016,252,217,128,1.148
BRKG,2016,VxW,NA,48,0.628
BRKG,2016,89,208,36,0.444
BRKG,2016,384,208,74,0.753
BRKG,2016,62,207,52,0.521
BRKG,2016,299,211,109,0.978
BRKG,2016,193,217,30,0.528
BRKG,2016,255,206,22,0.136
BRKG,2016,102,NA,122,1.638
BRKG,2016,VS16,210,31,0.227
BRKG,2016,260,208,77,0.555
BRKG,2016,350,217,127,0.823
BRKG,2016,90,218,110,0.673
BRKG,2016,312,217,84,0.55
BRKG,2016,105,218,176,1.436
BRKG,2016,371,206,95,0.533
BRKG,2016,307,207,122,0.585
BRKG,2016,VS16,217,41,0.227
BRKG,2016,223,216,210,1.742
BRKG,2016,310,218,85,0.587
BRKG,2016,328,217,97,0.786
BRKG,2016,194,217,216,1.768
BRKG,2016,WBC,250,121,3.28
BRKG,2016,323,207,85,0.587
BRKG,2016,AxD,207,154,1.029
BRKG,2016,209,208,76,0.59
BRKG,2016,245,208,122,0.876
BRKG,2016,108,207,85,0.717
BRKG,2016,VxW,217,82,0.758
BRKG,2016,370,216,223,1.23
BRKG,2016,307,207,154,0.934
BRKG,2016,VxW,215,131,1.166
BRKG,2016,WBC,250,272,3.556
BRKG,2016,268,206,10,NA
BRKG,2016,AP13,NA,171,2.539
BRKG,2016,386,207,71,0.255
BRKG,2016,46,205,122,0.699
BRKG,2016,379,NA,136,1.102
BRKG,2016,3,208,96,0.546
BRKG,2016,361,206,88,0.6
BRKG,2016,120,208,87,0.537
BRKG,2016,285,216,168,1.507
BRKG,2016,15,217,155,1.418
BRKG,2016,339,218,104,0.513
BRKG,2016,AP13,NA,151,2.477
BRKG,2016,7,208,102,0.598
BRKG,2016,249,207,112,0.698
CLMB,2016,354,204,94,0.227370167
CLMB,2016,589,202,187,0.801885857
CLMB,2016,652,197,105,0.344005697
CLMB,2016,105,207,124,0.4932813
CLMB,2016,359,209,103,0.41462961
CLMB,2016,496,202,47,NA
CLMB,2016,704,200,71,0.303769188
CLMB,2016,93,209,89,0.307794571
CLMB,2016,287,207,62,0.103948167
CLMB,2016,558,221,125,0.453592
CLMB,2016,692,209,107,0.505431086
CLMB,2016,198,200,111,0.389676764
CLMB,2016,421,197,127,0.375725373
CLMB,2016,497,197,91,0.080638578
CLMB,2016,635,200,100,0.440902224
CLMB,2016,35,207,79,0.261067396
CLMB,2016,299,202,83,0.263469396
CLMB,2016,576,190,101,0.394891859
CLMB,2016,621,197,130,0.370632411
CLMB,2016,194,223,169,0.658034725
CLMB,2016,179,190,53,0.08618248
CLMB,2016,465,216,73,0.190396642
CLMB,2016,141,190,84,0.251334584
CLMB,2016,247,207,136,0.570054811
CLMB,2016,AP13,NA,195,2.307112152
CLMB,2016,568,200,143,0.556910178
CLMB,2016,742,204,134,0.720410824
CLMB,2016,VS16,NA,NA,NA
CLMB,2016,13,218,55,0.255544789
CLMB,2016,390,209,79,0.373137361
CLMB,2016,547,209,142,0.71649022
CLMB,2016,693,190,56,0.08554586
CLMB,2016,AxD,176,116,0.350100032
CLMB,2016,705,NA,NA,NA
CLMB,2016,232,197,114,0.447014916
CLMB,2016,635,NA,NA,NA
CLMB,2016,659,207,98,0.308755382
CLMB,2016,133,190,39,0.069
CLMB,2016,350,202,105,0.410578966
CLMB,2016,33,179,126,0.279412672
CLMB,2016,758,207,179,1.029945138
CLMB,2016,523,202,88,0.387698568
CLMB,2016,328,200,110,0.45245802
CLMB,2016,102,200,143,0.3202052
CLMB,2016,728,190,81,0.219137953
CLMB,2016,550,193,109,0.348833848
CLMB,2016,508,209,96,0.387614982
CLMB,2016,393,207,86,0.398894141
CLMB,2016,477,197,68,0.139566769
CLMB,2016,717,197,90,0.47783571
CLMB,2016,34,190,113,0.406316214
CLMB,2016,AP13,NA,108,1.345656267
CLMB,2016,385,225,78,0.2282592
CLMB,2016,612,207,140,0.170969292
CLMB,2016,786,207,51,0.069
CLMB,2016,57,197,124,0.22963095
CLMB,2016,338,211,NA,0.16277637
CLMB,2016,517,202,82,0.590666505
CLMB,2016,763,200,NA,0.514888216
CLMB,2016,172,209,92,0.232764316
CLMB,2016,332,193,42,0.104846675
CLMB,2016,505,193,74,0.140079882
CLMB,2016,VxW,209,116,0.495090843
CLMB,2016,640,197,66,0.365929716
CLMB,2016,71,209,202,0.7588056
CLMB,2016,242,179,52,0.083998519
CLMB,2016,499,179,101,0.355313733
CLMB,2016,731,NA,NA,NA
CLMB,2016,279,202,74,0.28122704
CLMB,2016,60,193,114,0.19771959
CLMB,2016,699,204,290,1.262988634
CLMB,2016,409,193,125,0.343512966
CLMB,2016,AxD,181,102,1.657672582
CLMB,2016,207,190,78,0.252715543
CLMB,2016,197,202,128,0.524870743
CLMB,2016,634,200,84,0.715131217
CLMB,2016,450,200,66,1.109503996
CLMB,2016,358,193,28,0.564470044
CLMB,2016,151,190,62,NA
CLMB,2016,750,200,50,0.39462504
CLMB,2016,435,207,146,1.011032695
CLMB,2016,317,197,177,0.325811815
CLMB,2016,AP13,223,83,1.524766954
CLMB,2016,48,179,73,0.187693241
CLMB,2016,666,187,110,0.2326488
CLMB,2016,470,211,150,0.655573849
CLMB,2016,341,183,121,0.233304059
CLMB,2016,83,204,91,0.279715067
CLMB,2016,WBC,NA,116,0.641347495
CLMB,2016,694,NA,39,0.052764784
CLMB,2016,695,200,111,0.388762577
CLMB,2016,145,200,66,0.157245227
CLMB,2016,257,NA,112,0.41730464
CLMB,2016,423,200,255,0.916591834
CLMB,2016,783,202,101,1.131918218
CLMB,2016,79,190,106,0.334466828
CLMB,2016,248,225,114,0.622366023
CLMB,2016,488,193,132,0.407540293
CLMB,2016,744,200,81,0.364618185
CLMB,2016,104,179,50,0.135334007
CLMB,2016,530,NA,NA,NA
CLMB,2016,292,216,66,0.265898759
CLMB,2016,538,200,53,0.121402565
CLMB,2016,663,183,154,0.622640783
CLMB,2016,116,200,188,0.74954219
CLMB,2016,305,190,170,0.481877793
CLMB,2016,691,200,194,0.50250105
CLMB,2016,733,204,101,0.388264891
CLMB,2016,17,204,112,0.523048275
CLMB,2016,253,181,148,0.566201144
CLMB,2016,562,190,93,0.2494756
CLMB,2016,678,200,103,0.343774989
CLMB,2016,767,187,107,0.216649863
CLMB,2016,1,172,86,0.208459302
CLMB,2016,VxW,211,151,0.9752228
CLMB,2016,345,183,119,0.307119583
CLMB,2016,80,187,99,0.357738596
CLMB,2016,VS16,NA,NA,NA
CLMB,2016,760,NA,NA,NA
CLMB,2016,286,181,65,0.172586224
CLMB,2016,43,200,130,0.584195214
CLMB,2016,766,190,142,0.448852979
CLMB,2016,586,190,99,0.3118445
CLMB,2016,395,193,120,0.329005397
CLMB,2016,23,211,132,0.595281047
CLMB,2016,788,221,172,0.570807358
CLMB,2016,575,200,118,0.3171486
CLMB,2016,293,200,79,0.143492085
CLMB,2016,175,202,133,0.762442283
CLMB,2016,684,223,45,0.15190841
CLMB,2016,471,211,113,0.362234738
CLMB,2016,VS16,NA,NA,NA
CLMB,2016,339,190,129,0.410784255
CLMB,2016,AxD,179,122,0.264122842
CLMB,2016,5,190,71,0.173415966
CLMB,2016,534,187,60,0.120957867
CLMB,2016,298,193,84,0.179447361
CLMB,2016,439,200,31,0.041
CLMB,2016,823,209,115,0.36514156
CLMB,2016,49,190,70,0.22226008
CLMB,2016,402,207,202,1.182579143
CLMB,2016,425,200,139,0.655646618
CLMB,2016,761,200,84,0.332161642
CLMB,2016,WBC,NA,36,0.153199947
CLMB,2016,200,190,72,0.19504456
CLMB,2016,262,193,97,0.413809751
CLMB,2016,519,200,110,0.423613218
CLMB,2016,AxD,179,136,0.386035745
CLMB,2016,798,202,79,0.401070821
CLMB,2016,111,176,121,0.32626793
CLMB,2016,243,190,200,0.595281047
CLMB,2016,457,202,110,0.5465052
CLMB,2016,755,193,185,0.445344873
CLMB,2016,44,200,153,0.49611625
CLMB,2016,234,200,116,0.320182588
CLMB,2016,482,202,93,0.338250034
CLMB,2016,625,193,197,0.627239846
CLMB,2016,736,207,130,0.347952811
CLMB,2016,181,193,101,0.210301745
CLMB,2016,739,200,166,0.723227244
CLMB,2016,554,202,173,0.817372784
CLMB,2016,824,204,184,0.757704818
CLMB,2016,103,200,201,0.91087174
CLMB,2016,703,179,190,0.4762716
CLMB,2016,626,200,105,0.518390857
CLMB,2016,776,200,97,0.3288542
CLMB,2016,474,200,182,0.622069029
CLMB,2016,AP13,NA,204,1.901084118
CLMB,2016,392,193,77,0.270895222
CLMB,2016,677,193,122,0.422520948
CLMB,2016,806,202,114,0.1984465
CLMB,2016,26,200,117,0.654550481
CLMB,2016,364,197,61,0.205048438
CLMB,2016,509,200,104,0.206297131
CLMB,2016,756,200,150,0.517324547
CLMB,2016,AxD,172,148,0.323287389
CLMB,2016,WBC,NA,135,2.55107276
CLMB,2016,191,187,146,0.377411805
CLMB,2016,219,209,54,0.107268378
CLMB,2016,530,218,45,0.076488063
CLMB,2016,454,183,96,0.2097863
CLMB,2016,631,193,72,0.091798381
CLMB,2016,634,NA,NA,NA
CLMB,2016,743,190,91,0.117699303
CLMB,2016,592,218,149,0.415394779
CLMB,2016,WBC,NA,166,0.613902597
CLMB,2016,762,NA,NA,NA
CLMB,2016,805,204,134,0.387940526
CLMB,2016,573,179,163,0.322930424
CLMB,2016,434,190,135,0.336613011
CLMB,2016,690,190,127,0.425998487
CLMB,2016,801,190,153,0.820927161
CLMB,2016,795,176,97,0.1984465
CLMB,2016,762,NA,NA,NA
CLMB,2016,730,181,142,0.564005842
CLMB,2016,710,200,165,0.608058465
CLMB,2016,120,187,145,0.445344873
CLMB,2016,729,187,126,0.265675314
CLMB,2016,553,NA,156,0.537726
CLMB,2016,449,181,90,0.07316
CLMB,2016,599,202,120,0.660948343
CLMB,2016,775,200,141,0.261482447
CLMB,2016,614,202,108,0.340625992
CLMB,2016,AP13,NA,200,2.224345385
CLMB,2016,297,207,26,0.04746893
CLMB,2016,19,190,136,0.438472267
CLMB,2016,818,223,87,0.2891649
CLMB,2016,532,187,148,0.297927473
CLMB,2016,DAC,167,107,0.078152676
CLMB,2016,367,200,136,0.476128058
CLMB,2016,663,NA,NA,NA
CLMB,2016,653,NA,NA,NA
CLMB,2016,73,200,114,0.201532648
CLMB,2016,307,200,165,0.624324029
CLMB,2016,VxW,NA,102,0.42735114
CLMB,2016,452,193,122,0.604498569
CLMB,2016,657,200,189,0.609771973
CLMB,2016,123,211,118,0.313734467
CLMB,2016,678,NA,NA,NA
CLMB,2016,610,190,82,0.2077744
CLMB,2016,374,204,141,0.334590805
CLMB,2016,549,200,142,0.471602271
CLMB,2016,AP13,NA,144,1.462763766
CLMB,2016,661,211,101,0.3572037
CLMB,2016,506,221,100,0.427423231
CLMB,2016,629,NA,91,0.275783936
CLMB,2016,593,NA,NA,NA
CLMB,2016,686,NA,NA,NA
CLMB,2016,312,209,92,0.222083356
CLMB,2016,600,207,174,0.589187055
CLMB,2016,811,207,140,0.172098141
CLMB,2016,100,202,177,0.5556502
CLMB,2016,250,209,225,0.917905265
CLMB,2016,143,221,160,0.713320022
CLMB,2016,623,209,154,0.41469218
CLMB,2016,72,187,126,0.319840513
CLMB,2016,389,202,174,0.54332433
CLMB,2016,726,NA,NA,NA
CLMB,2016,675,NA,90,0.171550821
CLMB,2016,119,207,179,0.546200367
CLMB,2016,333,NA,92,0.313526778
CLMB,2016,529,193,86,0.274006596
CLMB,2016,AP13,NA,169,0.102
CLMB,2016,DAC,169,91,0.065
CLMB,2016,774,200,109,0.28576296
CLMB,2016,210,207,82,0.270050907
CLMB,2016,383,200,78,0.358401566
CLMB,2016,487,211,78,0.154414298
CLMB,2016,380,200,86,0.351168
CLMB,2016,110,183,95,0.357655285
CLMB,2016,749,218,95,0.223772053
CLMB,2016,501,218,71,0.113931638
CLMB,2016,371,207,160,0.5953395
CLMB,2016,106,193,198,0.767104118
CLMB,2016,718,193,240,0.470481064
CLMB,2016,541,187,131,0.345613019
CLMB,2016,218,209,153,0.617426722
CLMB,2016,186,209,220,1.130317456
CLMB,2016,AxD,176,109,0.258627018
CLMB,2016,702,187,132,0.221612091
CLMB,2016,544,193,149,0.367999811
CLMB,2016,216,209,119,0.279133538
CLMB,2016,AxD,174,125,0.215847228
CLMB,2016,86,218,128,0.3288542
