gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	countryCode	locality	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2234640998	27b4ff4b-29c3-4017-9c48-3750861392f7	d5fcca9d-5210-4c45-b42d-32118901fb4c	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Panicum	Panicum virgatum	virgatum	VARIETY	Panicum virgatum var. virgatum	US		0eabc674-8106-401e-9613-5f10164b562d													6431407	2705081	PRESERVED_SPECIMEN	NCU		NCU00089047				CC_BY_4_0					2019-06-21T21:13:15.617Z	STILLIMAGE	
2234640935	27b4ff4b-29c3-4017-9c48-3750861392f7	c78cf5d9-f4b3-48e9-8f4c-36e3032c2338	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Panicum	Panicum virgatum	virgatum	VARIETY	Panicum virgatum var. virgatum	US		0eabc674-8106-401e-9613-5f10164b562d													6431407	2705081	PRESERVED_SPECIMEN	NCU		NCU00088598				CC_BY_4_0					2019-06-21T21:13:16.222Z	STILLIMAGE	
2234640797	27b4ff4b-29c3-4017-9c48-3750861392f7	cd768e8c-b8b5-4b8e-b089-602bab5a6db6	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Panicum	Panicum virgatum	virgatum	VARIETY	Panicum virgatum var. virgatum	US		0eabc674-8106-401e-9613-5f10164b562d													6431407	2705081	PRESERVED_SPECIMEN	NCU		NCU00089078				CC_BY_4_0					2019-06-21T21:13:16.261Z	STILLIMAGE	
2234640723	27b4ff4b-29c3-4017-9c48-3750861392f7	3d192007-a9a6-4b03-afa4-b25a1173d51a	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Panicum	Panicum virgatum	cubense	VARIETY	Panicum virgatum var. cubense Griseb.	US		0eabc674-8106-401e-9613-5f10164b562d													4119586	2705081	PRESERVED_SPECIMEN	NCU		NCU00089059				CC_BY_4_0					2019-06-21T21:13:15.386Z	STILLIMAGE	
2234640676	27b4ff4b-29c3-4017-9c48-3750861392f7	4440db6e-e645-49e7-a685-55db471330e7	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Panicum	Panicum virgatum	virgatum	VARIETY	Panicum virgatum var. virgatum	US		0eabc674-8106-401e-9613-5f10164b562d													6431407	2705081	PRESERVED_SPECIMEN	NCU		NCU00089072				CC_BY_4_0					2019-06-21T21:13:15.791Z	STILLIMAGE	
2234640632	27b4ff4b-29c3-4017-9c48-3750861392f7	0ea47919-b9d6-478e-8397-c44b68f18597	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Panicum	Panicum virgatum	virgatum	VARIETY	Panicum virgatum var. virgatum	US		0eabc674-8106-401e-9613-5f10164b562d													6431407	2705081	PRESERVED_SPECIMEN	NCU		NCU00089045				CC_BY_4_0					2019-06-21T21:13:15.229Z	STILLIMAGE	
2234640392	27b4ff4b-29c3-4017-9c48-3750861392f7	5c3788a7-dda8-4ab5-b47a-7e4acd92b913	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Panicum	Panicum virgatum	cubense	VARIETY	Panicum virgatum var. cubense Griseb.	US		0eabc674-8106-401e-9613-5f10164b562d													4119586	2705081	PRESERVED_SPECIMEN	NCU		NCU00089038				CC_BY_4_0					2019-06-21T21:13:15.300Z	STILLIMAGE	
2234640378	27b4ff4b-29c3-4017-9c48-3750861392f7	bae6b3d6-616a-44d8-848b-1b739cbd0c26	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Panicum	Panicum virgatum	cubense	VARIETY	Panicum virgatum var. cubense Griseb.	US		0eabc674-8106-401e-9613-5f10164b562d													4119586	2705081	PRESERVED_SPECIMEN	NCU		NCU00088600				CC_BY_4_0					2019-06-21T21:13:15.674Z	STILLIMAGE	
2234640084	27b4ff4b-29c3-4017-9c48-3750861392f7	eb62aadb-3045-468f-8dd4-35a565715e8a	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Panicum	Panicum virgatum	cubense	VARIETY	Panicum virgatum var. cubense Griseb.	US		0eabc674-8106-401e-9613-5f10164b562d													4119586	2705081	PRESERVED_SPECIMEN	NCU		NCU00089039				CC_BY_4_0					2019-06-21T21:13:15.124Z	STILLIMAGE	
2234627042	27b4ff4b-29c3-4017-9c48-3750861392f7	9c07ea40-6738-4c55-b063-c1fa872e5e5e	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Panicum	Panicum virgatum	virgatum	VARIETY	Panicum virgatum var. virgatum	US		0eabc674-8106-401e-9613-5f10164b562d													6431407	2705081	PRESERVED_SPECIMEN	NCU		NCU00044576				CC_BY_4_0					2019-06-21T21:13:09.223Z	STILLIMAGE	
2234526136	27b4ff4b-29c3-4017-9c48-3750861392f7	57c94102-08d1-402b-91b3-ee7e220b2312	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Panicum	Panicum virgatum		SPECIES	Panicum virgatum L.	US	Occoquan Bay National Wildlife Refuge. From entrance on Dawson Beach Rd, turn right onto Lake Dr, continue straight onto Deephole Point Rd. Collected along road after 0.5 miles	0eabc674-8106-401e-9613-5f10164b562d	38.636694	-77.234417	100.0		6.0				2015-09-12T00:00:00Z	12	9	2015	2705081	2705081	PRESERVED_SPECIMEN	NCU		NCU00331448	26			CC_BY_4_0		Driskill, Emily			2019-06-21T21:12:24.104Z	STILLIMAGE	
2234525627	27b4ff4b-29c3-4017-9c48-3750861392f7	90c4204d-5984-4d23-96cc-24a2d6986e23	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Panicum	Panicum virgatum		SPECIES	Panicum virgatum L.	US	Chincoteague National Wildlife Refuge. Collected along the entirety of Wildlife Loop.	0eabc674-8106-401e-9613-5f10164b562d	37.907472	-75.351083	100.0		5.0				2015-09-09T00:00:00Z	9	9	2015	2705081	2705081	PRESERVED_SPECIMEN	NCU		NCU00325248	26	Driskill, Emily	2015-09-09T00:00:00Z	CC_BY_4_0		Driskill, Emily			2019-06-21T21:12:21.454Z	STILLIMAGE	
2234525310	27b4ff4b-29c3-4017-9c48-3750861392f7	30a371c9-9d27-4d7d-9e60-ae0bbdfc2238	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Panicum	Panicum virgatum		SPECIES	Panicum virgatum L.	US	Rappahannock River Valley National Wildlife Refuge. From Mt Landing Rd going SE, turn left onto State Rte 627, go 0.9 miles, turn left onto Unnamed Rd, population 0.1 miles ahead on left.	0eabc674-8106-401e-9613-5f10164b562d	37.943083	-76.890333	100.0		6.0				2015-09-21T00:00:00Z	21	9	2015	2705081	2705081	PRESERVED_SPECIMEN	NCU		NCU00328671	27	Maynard, Lauren	2015-09-21T00:00:00Z	CC_BY_4_0		Maynard, Lauren			2019-06-21T21:12:23.389Z	STILLIMAGE	
2234524482	27b4ff4b-29c3-4017-9c48-3750861392f7	b2800da6-c446-4ad8-bd66-612ea0676907	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Panicum	Panicum virgatum		SPECIES	Panicum virgatum L.	US	Blackwater National Wildlife Refuge. From intersection of Key Wallace Dr and Maple Dam Rd, continue straight for 3.5 miles. Pop. on E side.	0eabc674-8106-401e-9613-5f10164b562d	38.407194	-76.059722	100.0		1.0				2015-09-10T00:00:00Z	10	9	2015	2705081	2705081	PRESERVED_SPECIMEN	NCU		NCU00328648	25	Driskill, Emily	2015-09-10T00:00:00Z	CC_BY_4_0		Driskill, Emily			2019-06-21T21:12:20.673Z	STILLIMAGE	
2234515631	27b4ff4b-29c3-4017-9c48-3750861392f7	a64e4ea5-716b-4053-9f39-e0f83ca1e144	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Panicum	Panicum virgatum		SPECIES	Panicum virgatum L.	US	Panthertown Valley: Blackrock.	0eabc674-8106-401e-9613-5f10164b562d	35.173417	-83.027312	1146.0		1244.0				1990-06-10T00:00:00Z	10	6	1990	2705081	2705081	PRESERVED_SPECIMEN	NCU		NCU00120358	90-68	Wiser, Susan K.	1990-06-10T00:00:00Z	CC_BY_4_0		Wiser, Susan K.			2019-06-21T21:12:17.463Z	STILLIMAGE	
2234499299	27b4ff4b-29c3-4017-9c48-3750861392f7	b4b76b4c-05d3-4b0d-97dd-6ea9840e44b5	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Panicum	Panicum virgatum		SPECIES	Panicum virgatum L.	US	NC-211. NC-211 X Elwell Ferry Rd	0eabc674-8106-401e-9613-5f10164b562d	34.419028	-78.467361	100.0		21.0				2017-08-29T00:00:00Z	29	8	2017	2705081	2705081	PRESERVED_SPECIMEN	NCU		NCU00421787	604	Faucette, Amanda L.	2017-08-29T00:00:00Z	CC_BY_4_0		Faucette, Amanda L.			2019-06-21T21:12:05.620Z	STILLIMAGE	
2234468671	27b4ff4b-29c3-4017-9c48-3750861392f7	0ea89e39-363f-48df-840d-09183aba1875	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Panicum	Panicum virgatum	spissum	VARIETY	Panicum virgatum var. spissum H.P.Linder	CA	shore of Bower's (or Beaver Dam) Lake	0eabc674-8106-401e-9613-5f10164b562d									1921-09-10T00:00:00Z	10	9	1921	4119516	2705081	PRESERVED_SPECIMEN	NCU		NCU00394507	s. n.	LeBlond, Richard J.	2014-01-25T00:00:00Z	CC_BY_4_0		Fernald, Merritt Lyndon; Long, Bayard	PARATYPE		2019-06-21T21:11:24.009Z	STILLIMAGE	
2234456879	27b4ff4b-29c3-4017-9c48-3750861392f7	8508b748-bb07-48c0-882d-083d5107178c	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Panicum	Panicum virgatum	breviramosum	VARIETY	Panicum virgatum var. breviramosum Nash	US	About Augusta	0eabc674-8106-401e-9613-5f10164b562d									1895-01-01T00:00:00Z			1895	4119626	2705081	PRESERVED_SPECIMEN	NCU		NCU00141901	s. n.	LeBlond, R. J.	2014-04-27T00:00:00Z	CC_BY_4_0		Small, J. K.	ISOTYPE		2019-06-21T21:11:07.629Z	STILLIMAGE	RECORDED_DATE_MISMATCH
2234392825	27b4ff4b-29c3-4017-9c48-3750861392f7	243b8a65-c415-4ceb-b566-71a2328c907a	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Panicum	Panicum virgatum		SPECIES	Panicum virgatum L.	US		0eabc674-8106-401e-9613-5f10164b562d													2705081	2705081	PRESERVED_SPECIMEN	NCU		NCU00277953				CC_BY_4_0					2019-06-21T21:09:41.565Z	STILLIMAGE	
2234391294	27b4ff4b-29c3-4017-9c48-3750861392f7	3f0040ba-d1db-4cae-b7d8-c519fb2871c2	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Panicum	Panicum virgatum		SPECIES	Panicum virgatum L.	US		0eabc674-8106-401e-9613-5f10164b562d													2705081	2705081	PRESERVED_SPECIMEN	NCU		NCU00276393				CC_BY_4_0					2019-06-21T21:09:40.573Z	STILLIMAGE	
2234391252	27b4ff4b-29c3-4017-9c48-3750861392f7	69fe0e82-ea5b-43d4-9ff2-fa6f9af8e4b8	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Panicum	Panicum virgatum		SPECIES	Panicum virgatum L.	US		0eabc674-8106-401e-9613-5f10164b562d													2705081	2705081	PRESERVED_SPECIMEN	NCU		NCU00276394				CC_BY_4_0					2019-06-21T21:09:41.068Z	STILLIMAGE	
2234388096	27b4ff4b-29c3-4017-9c48-3750861392f7	a7be6b2c-42f2-4a47-a6ce-f2e25add5c25	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Panicum	Panicum virgatum		SPECIES	Panicum virgatum L.	US	River View, Md.	0eabc674-8106-401e-9613-5f10164b562d									1891-08-09T00:00:00Z	9	8	1891	2705081	2705081	PRESERVED_SPECIMEN	NCU		NCU00257337	s.n.	Blanchard, Ferdinand	1891-01-01T00:00:00Z	CC_BY_4_0		Blanchard, Ferdinand			2019-06-21T21:09:39.027Z	STILLIMAGE	
2234387943	27b4ff4b-29c3-4017-9c48-3750861392f7	6cf3e283-fb5e-42fa-87bb-1f1632bfc793	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Panicum	Panicum virgatum	virgatum	VARIETY	Panicum virgatum var. virgatum	US	Muskoda, Minn. [Minnesota]	0eabc674-8106-401e-9613-5f10164b562d	46.861627	-96.406734	3036.0						1901-08-10T00:00:00Z	10	8	1901	6431407	2705081	PRESERVED_SPECIMEN	NCU		NCU00269820	3065	LeBlond, Richard J.	2017-04-20T00:00:00Z	CC_BY_4_0		Ballard, C. A.			2019-04-04T12:23:03.919Z		
2234361642	27b4ff4b-29c3-4017-9c48-3750861392f7	aa897445-616e-426b-abac-2a35385c65e8	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Panicum	Panicum virgatum		SPECIES	Panicum virgatum L.	US	Point Lookout State Park. From Scotland, MD head S on MD-5, turn right onto boat launch area, pop. along water near parking lot	0eabc674-8106-401e-9613-5f10164b562d	38.051	-76.326917	100.0						2016-10-05T00:00:00Z	5	10	2016	2705081	2705081	PRESERVED_SPECIMEN	NCU		NCU00256509	556	Faucette, Amanda L		CC_BY_4_0		Faucette, Amanda L.			2019-06-21T21:09:25.264Z	STILLIMAGE	
2234361600	27b4ff4b-29c3-4017-9c48-3750861392f7	642bb970-24ed-42a9-98ce-6beba913788d	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Panicum	Panicum virgatum		SPECIES	Panicum virgatum L.	US	MD-33. Go 1.2 miles E down MD-33E from Station Rd. Pop. [population] on right along power corridor.	0eabc674-8106-401e-9613-5f10164b562d	38.75575	-76.155583	100.0		3.0				2016-09-20T00:00:00Z	20	9	2016	2705081	2705081	PRESERVED_SPECIMEN	NCU		NCU00256474	13	Walker, Samantha	2016-09-20T00:00:00Z	CC_BY_4_0		Walker, Samantha			2019-06-21T21:09:26.249Z	STILLIMAGE	
2234361318	27b4ff4b-29c3-4017-9c48-3750861392f7	a67361b6-ee87-4462-8b2a-e0a03241874e	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Panicum	Panicum virgatum		SPECIES	Panicum virgatum L.	US	Bell Isle State Park. Pop. is 0.8 miles down Neck Fields Trail from Watch House trail, on the left	0eabc674-8106-401e-9613-5f10164b562d	37.7775	-76.60425	100.0		1.0				2016-10-06T00:00:00Z	6	10	2016	2705081	2705081	PRESERVED_SPECIMEN	NCU		NCU00256504	596	Faucette, Amanda L.		CC_BY_4_0		Faucette, Amanda L			2019-06-21T21:09:25.058Z	STILLIMAGE	
2234360949	27b4ff4b-29c3-4017-9c48-3750861392f7	99a4d11b-6646-4554-917d-743409542968	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Panicum	Panicum virgatum		SPECIES	Panicum virgatum L.	US	Back Bay National Wildlife Refuge. Pop. in marsh area near left side of parking lot	0eabc674-8106-401e-9613-5f10164b562d	36.672306	-75.916361	100.0		1.0				2016-09-22T00:00:00Z	22	9	2016	2705081	2705081	PRESERVED_SPECIMEN	NCU		NCU00256537	539	Faucette, Amanda L		CC_BY_4_0		Faucette, Amanda L			2019-06-21T21:09:25.996Z	STILLIMAGE	
