r2,Mean Sig Conditions,Median Sig Conditions,Number of SNPs,All correlations are zero,All correlations are one,ED_PCA_3,ED_PCA_2,ED_tPCA
20%,7.39290941616523,9,6149,0.006508133853147187,0.5898532558167416,0.032102670084203665,0.004392484856235921,0.3671434553896715
0%,6.684931506849315,7,146,0.0019924740412300135,0.27117319219859903,0.04062906248500651,0.0015440328036247686,0.6846612384715397
