OsID,OsGene
LOC_Os07g48330,CYP714B1 
LOC_Os03g21419,CYP714B2 
LOC_Os01g41800,CYP72A31 
LOC_Os02g11020,CYP734A2 
LOC_Os06g39880,CYP734A4 
LOC_Os07g45290,CYP734A5 
LOC_Os01g29150,CYP734A6 
LOC_Os02g36280,CYP76M6 
LOC_Os02g36110,CYP76M7 
LOC_Os02g36070,CYP76M8 
LOC_Os04g48170,CYP87A3 
LOC_Os05g11130,CYP90D3 
LOC_Os04g01140,CYP93G1 
LOC_Os06g01250,CYP93G2 
LOC_Os12g05440,CYP94C2b 
LOC_Os02g57290,CYP97A4 
LOC_Os04g10160,CYP99A2 
LOC_Os04g09920,CYP99A3 
LOC_Os05g26377,CysP13|CpP13|PG5a|Prol-06 
LOC_Os03g55730,CysR10|crP10 
LOC_Os04g46980,cZOGT1 
LOC_Os04g46990,cZOGT2 
LOC_Os04g47770,cZOGT3 
LOC_Os05g26890,D1|RGA1 
LOC_Os01g54270,D10|OsCCD8|OsCCD8b 
LOC_Os04g39430,D11|CPB1|CYP724B1 
LOC_Os03g32270,D14L 
LOC_Os01g08220,d18|OsGA3ox2 
LOC_Os01g10040,D2
LOC_Os11g37650,D27 
LOC_Os06g06050,D3 
LOC_Os06g37364,D35|OsKOS3|OsKO2 
LOC_Os02g27620,D50 
LOC_Os11g01330,D53 
LOC_Os07g03770,D6|OSH15|Oskn3 
LOC_Os01g52050,D61|OsBRI1 
LOC_Os04g32550,DAD-1|DAD1 
LOC_Os04g39980,DAO 
LOC_Os07g38440,DAO 
LOC_Os01g33040,DBS1|OsNACK 
LOC_Os10g31850,DCA1 
LOC_Os02g15594,DCW11 
LOC_Os06g04710,DDF1 
LOC_Os03g46610,DDX47|TOGR1 
LOC_Os12g27994,DEC 
LOC_Os09g26999,DEP1|DN1|qPE9-1|OsDEP1 
LOC_Os07g42410,DEP2|EP2|SRS1 
LOC_Os06g46350,DEP3 
LOC_Os05g30220,DEPG1 
LOC_Os01g49000,DGL1|OsKTN60 
LOC_Os01g10460,D-h 
LOC_Os02g57490,DH1 
LOC_Os05g02530,DHAR1|OsDHAR1|OsDHAR 
LOC_Os03g11600,DL 
LOC_Os06g03710,DLT|OsGRAS-32|D62|GS6 
LOC_Os12g04980,DMC1A|DMC1 
LOC_Os05g37350,DNG701 
LOC_Os01g42630,DNMT2 
LOC_Os02g14120,Docs1 
LOC_Os06g04540,DP1 
LOC_Os07g43390,DPE1 
LOC_Os01g09990,DPF 
LOC_Os01g15448,DPL1 
LOC_Os06g08510,DPL2 
LOC_Os03g07140,DPW 
LOC_Os01g70025,DPW2 
LOC_Os09g26840,DRO1 
LOC_Os06g12250,DSH1 
LOC_Os02g50970,DSM1 
LOC_Os03g03370,DSM2 
LOC_Os03g12840,DSM3|OsITPK2 
LOC_Os03g57240,DST 
LOC_Os07g35610,DTC1 
LOC_Os04g51070,DTD|EAT1 
LOC_Os02g49230,DTH2|OsCOL9|OsCCT08 
LOC_Os07g43010,DTM1 
LOC_Os10g35550,Du1 
LOC_Os04g39780,DWA1 
LOC_Os04g48200,DWF1|DIM;DWF1|DIM 
LOC_Os01g47710,DWT1 
LOC_Os10g25170,EBL1 
LOC_Os03g29260,EF-1beta2 
LOC_Os04g43200,EFA27 
LOC_Os01g67430,EG1 
LOC_Os10g32600,Ehd1 
LOC_Os10g28330,Ehd2|RID1 
LOC_Os08g01420,Ehd3 
LOC_Os03g02160,Ehd4 
LOC_Os07g34589,eIF-1 
LOC_Os04g30780,EIF3H 
LOC_Os06g48750,eIF-4a|EIF4A 
LOC_Os03g55150,EIF5 
LOC_Os02g35329,EL5 
LOC_Os01g14410,ELIP 
LOC_Os01g72930,EMP5|OsEMP5 
LOC_Os01g64310,ENAC1 
LOC_Os04g59624,ENL1 
LOC_Os04g59620,ENL1L 
LOC_Os09g26960,EP 
LOC_Os02g15950,EP3|LP 
LOC_Os06g04280,EPSPs 
LOC_Os11g43960,ER-ANT1 
LOC_Os03g49500,ERS1 
LOC_Os05g06320,ERS2 
LOC_Os01g11040,ES1|TUT1|OsSCAR1 
LOC_Os04g08740,ETR2|Os-ERL1 
LOC_Os02g57530,ETR3 
LOC_Os07g15540,ETR4 
LOC_Os05g40384,EUI1 
LOC_Os06g02028,EYA1 
LOC_Os04g52280,FC1|OsCAD7 
LOC_Os09g03610,FCA|OsFCA 
LOC_Os04g39770,FCP1|OsCLE402 
LOC_Os06g34180,FCP2 
LOC_Os05g37140,Fd 
LOC_Os08g01380,Fd1 
LOC_Os02g57040,FDH 
LOC_Os07g40520,FH5|RMD|BUI1 
LOC_Os01g07500,FIB 
LOC_Os11g34460,FKF1|OsFKF1 
LOC_Os04g55230,FLO2 
LOC_Os05g33570,FLO4|OsPPDKB|ppdk|OsC4PPDK 
LOC_Os03g48170,FLO6 
LOC_Os10g32680,FLO7 
LOC_Os02g52840,FLS 
LOC_Os03g57120,FNR 
LOC_Os06g50340,FON1 
LOC_Os11g38270,FON2|FON4|TG1 
LOC_Os02g21890,FOS1 
LOC_Os01g67100,FSM|CAF-1 
LOC_Os04g56970,FtsZ1 
LOC_Os03g44420,FtsZ2-1 
LOC_Os02g13950,FUWA 
LOC_Os07g47330,FZP|BFL1 
LOC_Os07g04670,G1 
LOC_Os06g18830,G11A 
LOC_Os05g34854,GA20OX4 
LOC_Os01g55240,GA2OX3|OsGA2OX3 
LOC_Os03g13300,GAD3 
LOC_Os03g03720,GADPH 
LOC_Os03g41060,GASR2 
LOC_Os02g47850,GAT1 
LOC_Os07g37610,GD1 
LOC_Os07g41240,GE|CYP78A13 
LOC_Os04g38870,GF14b|OsGF14b 
LOC_Os08g33370,GF14c 
LOC_Os03g50290,GF14f 
LOC_Os03g60509,gh1|OsCHI 
LOC_Os02g09490,GH2|OsCAD2 
LOC_Os10g22520,GH5BG 
LOC_Os02g49880,Ghd2|OsK 
LOC_Os07g15770,Ghd7 
LOC_Os07g49460,Ghd7.1|Hd2|OsPRR37|DTH7 
LOC_Os04g57920,GIC 
LOC_Os05g33730,GID1|OsGID1 
LOC_Os04g33740,GIF1|OsCIN2|OsGIF1 
LOC_Os10g23220,GIL1 
LOC_Os12g33100,GK1 
LOC_Os03g44500,GL3.1|qGL3-1|qGL3|OsPPKL1 
LOC_Os03g30420,GL3.2 
LOC_Os05g41970,GLB1 
LOC_Os03g12290,GLN1;2|GS1;2|OsGS1;2 
LOC_Os03g57220,GLO1 
LOC_Os04g53210,GLO2 
LOC_Os07g05820,GLO3 
LOC_Os07g42440,GLO4 
LOC_Os05g02730,GLR1 
LOC_Os04g49570,GLR3.1 
LOC_Os10g26060,GluA 
