OsID,OsGene
LOC_Os01g27490,OsAns
LOC_Os01g27880,OsSPP
LOC_Os01g28450,OsPR1b
LOC_Os01g28474,AL1
LOC_Os01g28690,APIP12
LOC_Os01g28840,SLAC7
LOC_Os01g28970,OsRNAG
LOC_Os01g29150,CYP734A6
LOC_Os01g29469,OsDsPTP1
LOC_Os01g29840,ONAC026
LOC_Os01g31110,OsCAF1
LOC_Os01g31680,OsTATC
LOC_Os01g31870,OsNramp6
LOC_Os01g32350,OsClpP3
LOC_Os01g32364,Os7BGlu26
LOC_Os01g32380,RH3
LOC_Os01g32460,RH2
LOC_Os01g32660,OsMEK1|OsMKK6
LOC_Os01g32830,OsPLGG1
LOC_Os01g33040,DBS1|OsNACK
LOC_Os01g34010,ESA1
LOC_Os01g34060,OsMYBS1
LOC_Os01g34350,OsRDR6|shl-2
LOC_Os01g34480,OS-CAD
LOC_Os01g34850,HKT3|OsHKT2;3
LOC_Os01g36550,OsLYK1
LOC_Os01g36720,OsNRT2.4
LOC_Os01g36890,OsAIP1|OsBAT1
LOC_Os01g36920,OsAIP2
LOC_Os01g36930,OsUBP6
LOC_Os01g37510,OsPDF1A
LOC_Os01g37690,OsCAX1a
LOC_Os01g37870,WSL
LOC_Os01g37910,OsVPE2
LOC_Os01g38530,OsEF3|OsELF3-2|OsELF3.2
LOC_Os01g38670,OsMST8
LOC_Os01g38680,OsMST7
LOC_Os01g39020,OsHsfA7
LOC_Os01g39270,OsGLYR2
LOC_Os01g39630,RAD51C
LOC_Os01g39670,SaF
LOC_Os01g39680,SaM
LOC_Os01g39860,OsACO7
LOC_Os01g39960,OsLCYe|OsLCYepsilon
LOC_Os01g40094,OsABI2|OsPP2C06|OsABIL1
LOC_Os01g40630,LOG
LOC_Os01g40670,OsTRBF1
LOC_Os01g41430,RUGT-5
LOC_Os01g41710,CAB2R
LOC_Os01g41740,OsLhcb1
LOC_Os01g41800,CYP72A31
LOC_Os01g42260,OsLUGL
LOC_Os01g42380,Ospdr9|OsABCG36
LOC_Os01g42630,DNMT2
LOC_Os01g42650,coxVb|COX5b
LOC_Os01g42700,SIDP361
LOC_Os01g42710,OsLOL2
LOC_Os01g42850,OsATG7
LOC_Os01g42860,OCPI1
LOC_Os01g43520,OsCDase
LOC_Os01g43540,OsSGT1
LOC_Os01g43550,OsWRKY12
LOC_Os01g43610,OsOFP2
LOC_Os01g43650,OsWRKY11
LOC_Os01g43910,OsMPK10
LOC_Os01g44220,OsAPL2|osagpl2-3|OsAGPL2|GIF2
LOC_Os01g44260,OsDfr|OsA1
LOC_Os01g44980,OsPDF1B2
LOC_Os01g45070,OsPDF1B
LOC_Os01g45190,OsRH2
LOC_Os01g45200,Snl6
LOC_Os01g45274,OsCA1|OsbetaCA1
LOC_Os01g45550,OsPIN3t
LOC_Os01g45570,SGD2
LOC_Os01g45620,OsMPK16
LOC_Os01g45750,Ossbf1
LOC_Os01g45760,OsYUCCA1|OsYUC1
LOC_Os01g45860,OsSLRL1
LOC_Os01g45910,OsAAT
LOC_Os01g45990,OsAKT1
LOC_Os01g46860,OsPht1;11|OsPT11
LOC_Os01g46926,OsUBC5a
LOC_Os01g46940,DSH5
LOC_Os01g46970,OSBZ8|OsbZIP05
LOC_Os01g46980,v-ATP-E
LOC_Os01g47050,OsFBK1
LOC_Os01g47330,PRPL12
LOC_Os01g47340,OsIsu1
LOC_Os01g47530,OsMPK8|OsWJUMK1
LOC_Os01g47690,OsGLYII1|OsETHE1
LOC_Os01g47710,DWT1
LOC_Os01g47760,OsGRX6
LOC_Os01g47900,OsLSK1
LOC_Os01g48060,OsETT2|OsETTIN2
LOC_Os01g48280,OsUBC13
LOC_Os01g48290,OsDof4
LOC_Os01g48380,ALS3
LOC_Os01g48440,OsIRX9L
LOC_Os01g48446,OsNAC14
LOC_Os01g48680,OsTPC1
LOC_Os01g48690,ASL1
LOC_Os01g48800,BG3
LOC_Os01g48920,OsATG6a
LOC_Os01g48960,OsNADH-GOGAT1|OsGOGAT1
LOC_Os01g49000,DGL1|OsKTN60
LOC_Os01g49010,OsORC4
LOC_Os01g49024|LOC_Os01g49020,SUI3
LOC_Os01g49290,OsRACK1A
LOC_Os01g49680,OsXPB2
LOC_Os01g50030,OsPEAMT1
LOC_Os01g50370,OsMAPKKK63
LOC_Os01g50400,OsMAPKKK55
LOC_Os01g50420,OsNPK1-PK|OsMAPKKK62
LOC_Os01g50520,SLB1|OsMAX1
LOC_Os01g50580,SLB2
LOC_Os01g50622,OsBBD1
LOC_Os01g50680,SLP1
LOC_Os01g50760,OsFPPS1|FPPS1|FPPS
LOC_Os01g50770,SPL28
LOC_Os01g50820,OsNRT2.3
LOC_Os01g50910,pwsi18|WSI18
LOC_Os01g50940,OsOsbHLH010|OsMYL1
LOC_Os01g51154,OsTRBF3
LOC_Os01g51320,OsPAO1|PAO1
LOC_Os01g51420,OsCBL10
LOC_Os01g51430,OsRTH1
