AtID,AtGene
AT4G36920,AP2
AT4G37280,MRG1
AT4G38680,"CSP2, GRP2"
AT4G38960,BBX19
AT4G39100,"SHL1, SHL"
AT4G40060,"HB16, ATHB16"
AT5G02810,PRR7
AT5G03840,TFL1
AT5G04240,ELF6
AT5G04275,MIR172B
AT5G06170,SUC9
AT5G06600,UBP12
AT5G06850,FTIP1
AT5G07200,GA20OX3
AT5G09740,"HAM2, HAG5, HAC11"
AT5G10140,"FLC, AGL25, FLF"
AT5G10945,MIR156D
AT5G11530,EMF1
AT5G11977,MIR156E
AT5G12840,"NF-YA1, HAP2B"
AT5G13480,FY
AT5G13790,AGL15
AT5G14170,"BAF60, CHC1"
AT5G15840,CO
AT5G16320,"FRL1, SUF8"
AT5G17490,RGL3
AT5G17690,"TFL2, LHP1"
AT5G18240,MYR1
AT5G20320,DCL4
AT5G23150,HUA2
AT5G23730,"RUP2, EFO2"
AT5G24470,PRR5
AT5G24860,FPF1
AT5G26147,MIR156F
AT5G27320,GID1C
AT5G35840,PHYC
AT5G35910,RRP6L2
AT5G37055,"SEF, SWC6"
AT5G37260,"RVE2, CIR1"
AT5G39550,"VIM3, ORTH1"
AT5G39660,CDF2
AT5G40490,HLP1
AT5G42400,"ATXR7, SDG25"
AT5G44160,"IDD8, NUC"
AT5G44190,GLK2
AT5G44200,CBP20
AT5G45600,"YAF9A, TAF14B, GAS41"
AT5G46210,CUL4
AT5G47640,"NF-YB2, HAP3B"
AT5G48300,"ADG1, APS1"
AT5G48560,CIB2
AT5G48890,LATE
AT5G49020,PRMT4A
AT5G51230,"EMF2, CYR1"
AT5G51810,GA20ox2
AT5G51820,PGM1
AT5G55835,MIR156H
AT5G57360,ZTL
AT5G57380,VIN3
AT5G57660,COL5
AT5G58230,MSI1
AT5G59560,SRR1
AT5G60100,PRR3
AT5G60120,TOE2
AT5G60410,SIZ1
AT5G60910,"FUL, AGL8"
AT5G61060,HDA5
AT5G61150,VIP4
AT5G61380,TOC1
AT5G61850,LFY
AT5G61920,"FLX4, FLL4"
AT5G62040,BFT
AT5G62430,CDF1
AT5G63110,"HDA6, RTS1"
AT5G63470,NF-YC4
AT5G63960,"GIS5, EMB2780"
AT5G64170,LNK1
AT5G64610,HAM1
AT5G64960,CDKC;2
AT5G65050,"MAF2, AGL31"
AT5G65060,"MAF3, AGL70"
AT5G65070,"MAF4, AGL69"
AT5G65080,"MAF5, AGL68"
AT5G67180,TOE3
