MONTH,DAY,YEAR,TMAX_C,TMIN_C,RAIN_mm,SRAD_MJ/m2
5,10,2016,34,21.6,3.56,16.91
5,11,2016,32.7,22.2,0,22.13
5,12,2016,32.8,24.9,0,19.96
5,13,2016,32.2,24,0,15.12
5,14,2016,33.4,23.4,0,22.6
5,15,2016,31.1,21.3,2.79,10.95
5,16,2016,26.7,21.8,90.17,5.61
5,17,2016,32,22.3,1.27,23.33
5,18,2016,32.1,22.2,1.52,19.42
5,19,2016,29.4,22.9,1.52,10.53
5,20,2016,29.2,19.6,12.95,10.21
5,21,2016,28,20.7,0,9.71
5,22,2016,32.4,25.1,2.03,16.38
5,23,2016,31.6,24.6,0,15.24
5,24,2016,31.1,23.2,0,15.7
5,25,2016,32.5,25.8,0,16.56
5,26,2016,33.2,26,0,19.23
5,27,2016,34.4,26.7,0,18.79
5,28,2016,37.5,26.4,0,22.85
5,29,2016,32.1,25.9,0,22.09
5,30,2016,31.9,25.4,0,18.93
5,31,2016,32.2,22.9,0,19.43
6,1,2016,32.9,21.6,116.08,17.5
6,2,2016,30.4,22.1,0,13.57
6,3,2016,31.8,22.8,12.19,17.15
6,4,2016,31,21.2,14.73,16.04
6,5,2016,28.6,21.1,9.14,16.55
6,6,2016,28.5,20.8,4.32,15.48
6,7,2016,32.2,22,0,21.28
6,8,2016,33,21.6,0,21.09
6,9,2016,30.5,22.2,0,12.61
6,10,2016,32.7,21.8,0,22.07
6,11,2016,33.9,22.4,0,22.63
6,12,2016,33.8,26.1,0,19.42
6,13,2016,34.6,26.8,0,18.92
6,14,2016,34.8,26.3,0.51,23.23
6,15,2016,34.7,25.4,0,24.6
6,16,2016,36.7,26.5,0,26.2
6,17,2016,34.9,25.6,0,25.3
6,18,2016,35.1,23.8,0,21.21
6,19,2016,35.5,24.5,0,25.44
6,20,2016,33,23.3,0,24.02
6,21,2016,33.5,22.4,7.87,23.81
6,22,2016,34.7,22.6,0,24.07
6,23,2016,34.6,22.7,0,25.24
6,24,2016,33.8,21.9,0,25.38
6,25,2016,34,24.1,0,22.45
6,26,2016,32.3,25.7,4.57,10.3
6,27,2016,33.9,24.3,0,24.39
6,28,2016,34.5,22.3,0,22.51
6,29,2016,37.3,21.7,0,27.35
