"INDEX","CROSS","SITE","EFF","SE","TRAIT"
367,"add","BRKG",-0.786884986268986,0.260464254939245,"PRM"
367,"add","CLMB",-0.704287323626902,0.243953338414792,"PRM"
367,"add","KBSM",-0.774126458677239,0.221711541547955,"PRM"
367,"add","KING",-0.166186913832359,0.247599582489419,"PRM"
367,"add","LINC",-0.683363846209154,0.238911761023831,"PRM"
367,"add","MNHT",-0.664699296034965,0.277709463445087,"PRM"
367,"add","OVTN",-0.964092131104345,0.252275003620895,"PRM"
367,"add","PKLE",0.0825291200080991,0.316873193652732,"PRM"
367,"add","STIL",-0.425222842674815,0.301124935538948,"PRM"
367,"add","TMPL",-0.562558555040338,0.2231065456104,"PRM"
367,"add2","BRKG",-0.0614175437598488,0.259975111379955,"PRM"
367,"add2","CLMB",-0.398683250043658,0.24369263628393,"PRM"
367,"add2","KBSM",-0.369563282354656,0.221848162039456,"PRM"
367,"add2","KING",-0.255252405924021,0.247600060795025,"PRM"
367,"add2","LINC",-0.142133755011565,0.238737540990876,"PRM"
367,"add2","MNHT",-0.2888832083392,0.277610424171484,"PRM"
367,"add2","OVTN",-0.43334412639695,0.251734501112185,"PRM"
367,"add2","PKLE",0.566837751395617,0.317127245390284,"PRM"
367,"add2","STIL",0.43888752741292,0.302217487618997,"PRM"
367,"add2","TMPL",0.115836937705184,0.222513602560724,"PRM"
367,"dom","BRKG",-0.0173711197352492,0.260462718011034,"PRM"
367,"dom","CLMB",0.00438874777900226,0.244073074918852,"PRM"
367,"dom","KBSM",0.144312491802217,0.221791011554742,"PRM"
367,"dom","KING",0.0743482053150711,0.247601155383992,"PRM"
367,"dom","LINC",0.144540198791017,0.238747985844975,"PRM"
367,"dom","MNHT",0.310586658903883,0.27786706166246,"PRM"
367,"dom","OVTN",-0.167685545552025,0.252216154294219,"PRM"
367,"dom","PKLE",-0.441047669052282,0.316981528147677,"PRM"
367,"dom","STIL",-0.920212208230903,0.302270003151833,"PRM"
367,"dom","TMPL",-0.335913453688574,0.223057905435844,"PRM"
578,"add","BRKG",-1.03113801658793,0.266494360424751,"PRM"
